,6100 Auto Expense,6700 Interest Expense,6750 Professional Services,6900 Meals & Entertainment,6950 Office Supplies,6951 Office Software,7600 Travel,6200 Bank Charges & Fees,6010 Advertising & Marketing,6952 Telecommunications,Uncategorized Expense,7150 Shipping & Postage,6752 Legal Services,7200 Rent & Lease-Building Space,6201 Payment Collection Fees,6754 Payroll Processing,7300 Payroll-Wages,7301 Payroll-Taxes,6990 Other Business Expenses,6350 Depreciation-Machinery & Equipment,6361 Depreciation-Office Equipment,6751 Accounting Services,7305 Guaranteed Payments,8000 Other Expense,Sales of Product Income,7302 Payroll-Benefits,7340 Research & Development,6800 Taxes & Licenses,6753 Consultants,7300.1 Payroll-Bonus,6780 Recruiting,7201 Leased Equipment,6011 Operating Supplies,6012 Packaging Supplies,7500 Utilities,6755 IT Consulting,6102 Auto Expense-Registrations & Fees,6650 Insurance-General Liability,6651 Insurance-Workers Comp,6850 Repairs & Maintenance-Building,6853 Repairs & Maintenance-Grounds,9852 Repairs & Maintenance-Fleet,4020 Revenue-Product line #2
03/2019,77.57,18.08,0.0,719.61,205.23,1661.7,191.35,192.56,0.0,40.75,0.0,0.0,18648.5,0.0,0.0,171.0,6250.0,186.64,0.0,0.0,40.0,1175.0,0.0,0.0,0.0,8400.34,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/2019,0.0,20.44,0.0,143.61,176.42,161.7,62.75,329.43,6461.3,40.75,0.0,108.04,0.0,0.0,0.0,171.0,6250.0,228.65,0.0,0.0,40.0,100.0,0.0,0.0,0.0,0.0,223.41,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/2019,0.0,0.0,0.0,321.5,9.4,165.18,585.0,296.34,0.0,40.75,0.0,49.83,500.0,0.0,0.0,171.0,6250.0,944.87,0.0,0.0,40.0,3850.0,0.0,0.0,0.0,5204.61,0.0,0.0,6338.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/2019,0.0,0.0,0.0,400.57,203.43,165.75,50.88,285.28,0.0,40.75,0.0,512.84,0.0,0.0,0.0,87.0,3125.0,1829.53,12.73,0.0,40.0,250.0,0.0,0.0,0.0,4663.83,448.66,0.0,600.0,9600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/2019,0.0,0.0,0.0,491.29,249.38,164.91,1938.8,442.04,0.0,40.75,0.0,0.0,0.0,0.0,0.0,171.0,6250.0,777.5,0.0,0.0,40.0,50.0,0.0,0.0,0.0,4663.83,0.0,0.0,9150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/2019,0.0,0.0,0.0,884.05,0.0,163.63,68.0,302.17,106.25,40.75,0.0,0.0,0.0,0.0,0.0,256.0,9375.0,243.76,0.0,0.0,40.0,100.0,0.0,0.0,0.0,4663.83,0.0,0.0,8605.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/2019,0.0,0.0,0.0,778.14,0.0,163.63,455.46,337.31,923.91,0.0,0.0,7.35,0.0,0.0,0.0,86.0,3125.0,712.49,0.0,0.0,40.0,0.0,0.0,0.0,0.0,4663.83,0.0,0.0,7301.25,0.0,106.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/2019,0.0,0.0,0.0,629.47,0.0,163.63,73.0,338.78,560.0,0.0,0.0,63.75,0.0,0.0,0.0,257.0,9375.0,254.06,0.0,0.0,40.0,250.0,0.0,0.0,0.0,4663.83,0.0,0.0,12706.25,0.0,153.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/2019,0.0,0.0,0.0,662.48,144.94,195.48,375.0,321.24,0.0,0.0,0.0,31.78,3250.0,0.0,0.0,171.0,6250.0,916.79,427.13,0.0,40.0,0.0,0.0,0.0,0.0,4663.83,21.74,150.0,70200.83,0.0,106.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/2019,77.57,209.21,0.0,2298.32,1790.31,3288.46,5750.62,1677.81,17204.62,366.75,0.0,784.27,28013.5,0.0,0.0,1883.0,68750.0,4444.1,439.86,0.12,440.0,6175.0,0.0,0.0,0.0,49988.27,940.58,650.0,124902.73,9600.0,365.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
