,0
0,0
1,296.0
2,10.38
3,"[' 0 Load(531)', ' 169+Meadow+Street+Amherst+MA Load(531)', ' 110+Pleasant+Street+Northampton+MA Load(495)', ' 238+Main+Street+Williamstow+MA Load(345)', ' 2+Larch+Street+Pittsfield+MA Load(330)', ' 1375+North+Main+Street+Sheffield+MA Load(300)', ' 380+Dwight+Street+Holyoke+MA Load(250)', ' 541+Massachusetts+Ave+Cambridge+MA Load(100)', ' 0 Load(0)']"
