,0
0,3
1,124.0
2,4.27
3,"[' 0 Load(585)', ' 3+Dodge+Street+Salem+MA Load(585)', ' 416+Boston+Post+Road+Marlborough+MA Load(525)', ' 5+Forge+Parkway+Franklin+MA Load(300)', ' 0 Load(0)']"
