,Key,Value
0,Sales,300.0
2,Sales of Product Income,100.0
4,6010 Advertising & Marketing,1500.0
6,6200 Bank Charges & Fees,303.67
8,6700 Interest Expense,170.69
10,6752 Legal Services,5615.0
12,6754 Payroll Processing,171.0
14,6900 Meals & Entertainment,365.99
16,6950 Office Supplies,801.51
18,6951 Office Software,121.15
20,6952 Telecommunications,81.5
22,7150 Shipping & Postage,10.68
24,7300 Payroll-Wages,6250.0
26,7301 Payroll-Taxes,-550.75
28,7302 Payroll-Benefits,4200.17
30,7340 Research & Development,246.77
32,7600 Travel,1950.38
34,6361 Depreciation-Office Equipment,40.0
