,Key,Value
0,Unapplied Cash Payment Income,305.59
2,6010 Advertising & Marketing,7653.16
4,6200 Bank Charges & Fees,279.58
6,6751 Accounting Services,400.0
8,6754 Payroll Processing,171.0
10,6900 Meals & Entertainment,178.34
12,6951 Office Software,161.7
14,6952 Telecommunications,40.75
16,7300 Payroll-Wages,6250.0
18,7301 Payroll-Taxes,-591.32
20,7302 Payroll-Benefits,4200.17
22,6361 Depreciation-Office Equipment,40.0
