,0
0,0
1,217.0
2,7.03
3,"[' 0 Load(502)', ' 76+Millbury+St+Worcester+MA Load(502)', ' 380+Dwight+St+Holyoke+MA Load(402)', ' 501+Dalton+Ave+Pittsfield+MA Load(102)', ' 0 Load(0)']"
