,Key,Value
0,6010 Advertising & Marketing,5199.0
2,6200 Bank Charges & Fees,490.2
4,6751 Accounting Services,3685.0
6,6752 Legal Services,4000.0
8,6753 Consultants,69097.5
10,6754 Payroll Processing,172.0
12,6800 Taxes & Licenses,25.0
14,6900 Meals & Entertainment,167.63
16,6950 Office Supplies,230.35
18,6951 Office Software,314.07
20,6990 Other Business Expenses,-1500.0
22,7150 Shipping & Postage,51.59
24,7300 Payroll-Wages,3125.0
26,7301 Payroll-Taxes,227.23
28,7302 Payroll-Benefits,5059.14
30,7305 Guaranteed Payments,12500.0
32,7340 Research & Development,199.99
34,7600 Travel,49.0
