,Key,Value
0,6010 Advertising & Marketing,150.0
2,6011 Operating Supplies,4481.29
4,6012 Packaging Supplies,5144.05
6,6100 Auto Expense,632.93
8,6751 Accounting Services,113.75
10,6780 Recruiting,102.36
12,6800 Taxes & Licenses,9.54
14,6900 Meals & Entertainment,517.46
16,6950 Office Supplies,2323.35
18,6951 Office Software,1479.62
20,6952 Telecommunications,65.25
22,7340 Research & Development,390.0
24,7500 Utilities,409.4
26,9852 Repairs & Maintenance-Fleet,75.39
