,0
0,5
1,20.0
2,0.98
3,"[' 0 Load(225)', ' 300+Newburyport+Turnpike+Rowley+MA Load(225)', ' 116+Newburyport+Turnpike+Rowley+MA Load(165)', ' 0 Load(0)']"
