,0
0,2
1,200.0
2,6.45
3,"[' 0 Load(586)', ' 169+Meadow+Street+Amherst+MA Load(586)', ' 380+Dwight+Street+Holyoke+MA Load(550)', ' 640+Douglas+St+Uxbridge+MA\xa0 Load(400)', ' 541+Massachusetts+Ave+Cambridge+MA Load(100)', ' 0 Load(0)']"
