,Key,Value
0,6200 Bank Charges & Fees,331.06
2,6700 Interest Expense,29.86
4,6752 Legal Services,4000.0
6,6753 Consultants,4328.75
8,6754 Payroll Processing,171.0
10,6900 Meals & Entertainment,118.49
12,6950 Office Supplies,14.34
14,6951 Office Software,264.98
16,7150 Shipping & Postage,53.24
18,7200 Rent & Lease-Building Space,6718.0
20,7201 Leased Equipment,458.75
22,7300 Payroll-Wages,6250.0
24,7301 Payroll-Taxes,454.47
26,7302 Payroll-Benefits,5059.14
28,7305 Guaranteed Payments,12500.0
