,Key,Value
0,6010 Advertising & Marketing,171.45
2,6200 Bank Charges & Fees,-508.36
4,6700 Interest Expense,246.23
6,6750 Professional Services,8000.0
8,6900 Meals & Entertainment,50.26
10,6950 Office Supplies,31.88
12,6951 Office Software,40.75
