,Key,Value
0,6010 Advertising & Marketing,5305.42
2,6011 Operating Supplies,4699.55
4,6012 Packaging Supplies,1700.0
6,6200 Bank Charges & Fees,558.86
8,6700 Interest Expense,66.62
10,6751 Accounting Services,1350.0
12,6752 Legal Services,4000.0
14,6753 Consultants,100818.74
16,6754 Payroll Processing,172.0
18,6800 Taxes & Licenses,83.3
20,6900 Meals & Entertainment,592.01
22,6950 Office Supplies,2604.17
24,6951 Office Software,565.06
26,7150 Shipping & Postage,7.75
28,7200 Rent & Lease-Building Space,7500.0
30,7201 Leased Equipment,120.75
32,7300 Payroll-Wages,12692.31
34,7301 Payroll-Taxes,-415.22
36,7302 Payroll-Benefits,5059.14
38,7340 Research & Development,12093.0
