,Key,Value
0,6010 Advertising & Marketing,923.91
2,6200 Bank Charges & Fees,337.31
4,6753 Consultants,7301.25
6,6754 Payroll Processing,86.0
8,6780 Recruiting,106.25
10,6900 Meals & Entertainment,778.14
12,6951 Office Software,163.63
14,7150 Shipping & Postage,7.35
16,7300 Payroll-Wages,3125.0
18,7301 Payroll-Taxes,712.49
20,7302 Payroll-Benefits,4663.83
22,7600 Travel,455.46
24,6361 Depreciation-Office Equipment,40.0
