,from_lat,from_lon,to_lat,to_lon,From Address,To Address
0,42.7178462,-70.9603211,42.5518126,-71.5659507,68+Tenney+St+Georgetown+MA, 38+Littleton+Rd+Ayer+MA Load(486)
1,42.5518126,-71.5659507,42.5589326,-71.583761, 38+Littleton+Rd+Ayer+MA Load(486), 31+Central+Ave+Ayer+MA Load(480)
2,42.5589326,-71.583761,42.3586426,-71.7834089, 31+Central+Ave+Ayer+MA Load(480), 65+West+Boylston+Street+W+Boylston+MA Load(450)
3,42.3586426,-71.7834089,42.29781,-71.76453000000001, 65+West+Boylston+Street+W+Boylston+MA Load(450), 640+Lincoln+Street+Worcester+MA Load(150)
4,42.29781,-71.76453000000001,42.7178462,-70.9603211, 640+Lincoln+Street+Worcester+MA Load(150),68+Tenney+St+Georgetown+MA
5,42.29781,-71.76453000000001,42.7178462,-70.9603211, 640+Lincoln+Street+Worcester+MA Load(150),68+Tenney+St+Georgetown+MA
