,Key,Value
0,6200 Bank Charges & Fees,90.29
2,6700 Interest Expense,252.91
4,6752 Legal Services,174.0
6,6900 Meals & Entertainment,67.02
8,6951 Office Software,55.77
10,6952 Telecommunications,40.75
12,7600 Travel,41.0
