,Key,Value
0,6010 Advertising & Marketing,8140.69
2,6011 Operating Supplies,3056.01
4,6012 Packaging Supplies,1707.08
6,6200 Bank Charges & Fees,511.66
8,6751 Accounting Services,308.75
10,6752 Legal Services,4000.0
12,6753 Consultants,9054.91
14,6754 Payroll Processing,89.0
16,6755 IT Consulting,4247.42
18,6780 Recruiting,153.52
20,6800 Taxes & Licenses,74.38
22,6900 Meals & Entertainment,85.19
24,6950 Office Supplies,2882.82
26,6951 Office Software,628.09
28,6990 Other Business Expenses,-6225.19
30,7150 Shipping & Postage,11.0
32,7200 Rent & Lease-Building Space,7500.0
34,7300 Payroll-Wages,21153.86
36,7301 Payroll-Taxes,1604.86
38,7302 Payroll-Benefits,6834.28
40,7340 Research & Development,1415.0
42,7500 Utilities,553.46
44,7600 Travel,3485.43
