,0
0,6
1,50.0
2,2.17
3,"[' 0 Load(525)', ' 300+Newburyport+Turnpike+Rowley+MA Load(525)', ' 116+Newburyport+Turnpike+Rowley+MA Load(465)', ' 462+Highland+Ave+Salem+MA Load(300)', ' 0 Load(0)']"
