,0
0,0
1,107.0
2,4.03
3,"[' 0 Load(486)', ' 38+Littleton+Rd+Ayer+MA Load(486)', ' 31+Central+Ave+Ayer+MA Load(480)', ' 65+West+Boylston+Street+W+Boylston+MA Load(450)', ' 640+Lincoln+Street+Worcester+MA Load(150)', ' 0 Load(0)']"
