,Key,Value
0,Sales,495.0
2,6010 Advertising & Marketing,106.25
4,6200 Bank Charges & Fees,302.17
6,6751 Accounting Services,100.0
8,6753 Consultants,8605.65
10,6754 Payroll Processing,256.0
12,6900 Meals & Entertainment,884.05
14,6951 Office Software,163.63
16,6952 Telecommunications,40.75
18,7300 Payroll-Wages,9375.0
20,7301 Payroll-Taxes,243.76
22,7302 Payroll-Benefits,4663.83
24,7600 Travel,68.0
26,6361 Depreciation-Office Equipment,40.0
