,0
0,1
1,105.0
2,3.45
3,"[' 0 Load(525)', ' 416+Boston+Post+Road+Marlborough+MA Load(525)', ' 5+Forge+Parkway+Franklin+MA Load(300)', ' 0 Load(0)']"
