,Key,Value
0,6010 Advertising & Marketing,7166.71
2,6200 Bank Charges & Fees,287.1
4,6700 Interest Expense,105.76
6,6750 Professional Services,47311.83
8,6900 Meals & Entertainment,119.02
10,6951 Office Software,63.75
12,7200 Rent & Lease-Building Space,10000.0
