,Key,Value
0,6010 Advertising & Marketing,399.0
2,6200 Bank Charges & Fees,341.78
4,6753 Consultants,3150.0
6,6754 Payroll Processing,171.0
8,6780 Recruiting,106.25
10,6900 Meals & Entertainment,196.08
12,6950 Office Supplies,133.47
14,6951 Office Software,252.24
16,7200 Rent & Lease-Building Space,42.0
18,7300 Payroll-Wages,6250.0
20,7301 Payroll-Taxes,537.15
22,7302 Payroll-Benefits,5059.14
24,7305 Guaranteed Payments,12500.0
26,7340 Research & Development,1849.97
