,0
0,6
1,119.0
2,3.68
3,"[' 0 Load(600)', ' 5+Forge+Parkway+Franklin+MA Load(600)', ' 640+Douglas+St+Uxbridge+MA\xa0 Load(300)', ' 0 Load(0)']"
