,Distance,Duration,Ad1,Ad2
61,29.8 km,30 mins,65+West+Boylston+Street+W+Boylston+MA,416+Boston+Post+Road+Marlborough+MA
62,100 km,1 hour 15 mins,65+West+Boylston+Street+W+Boylston+MA,116+Newburyport+Turnpike+Rowley+MA
63,133 km,1 hour 26 mins,65+West+Boylston+Street+W+Boylston+MA,38+Great+Republic+Drive+Gloucester+MA
64,101 km,1 hour 15 mins,65+West+Boylston+Street+W+Boylston+MA,300+Newburyport+Turnpike+Rowley+MA
65,106 km,1 hour 11 mins,65+West+Boylston+Street+W+Boylston+MA,50+Grove+St+Salem+MA
66,107 km,1 hour 7 mins,65+West+Boylston+Street+W+Boylston+MA,49+Macy+St+Amesbury+MA
67,110 km,1 hour 8 mins,65+West+Boylston+Street+W+Boylston+MA,107+Elm+St+Salisbury+MA
68,108 km,1 hour 16 mins,65+West+Boylston+Street+W+Boylston+MA,3+Dodge+Street+Salem+MA
69,56.3 km,39 mins,65+West+Boylston+Street+W+Boylston+MA,5+Forge+Parkway+Franklin+MA
70,7.9 km,11 mins,65+West+Boylston+Street+W+Boylston+MA,640+Lincoln+Street+Worcester+MA
71,73.7 km,52 mins,65+West+Boylston+Street+W+Boylston+MA,541+Massachusetts+Ave+Cambridge+MA
72,39.1 km,28 mins,65+West+Boylston+Street+W+Boylston+MA,640+Douglas+St+Uxbridge+MA
73,108 km,1 hour 15 mins,65+West+Boylston+Street+W+Boylston+MA,462+Highland+Ave+Salem+MA
74,37.7 km,30 mins,65+West+Boylston+Street+W+Boylston+MA,38+Littleton+Rd+Ayer+MA
75,38.6 km,30 mins,65+West+Boylston+Street+W+Boylston+MA,31+Central+Ave+Ayer+MA
76,83.7 km,1 hour 5 mins,416+Boston+Post+Road+Marlborough+MA,68+Tenney+St+Georgetown+MA
77,41.5 km,35 mins,416+Boston+Post+Road+Marlborough+MA,266+North+Main+Street+Millbury+MA
78,34.0 km,30 mins,416+Boston+Post+Road+Marlborough+MA,65+Pullman+Street+Worcester+MA
79,29.0 km,30 mins,416+Boston+Post+Road+Marlborough+MA,65+West+Boylston+Street+W+Boylston+MA
80,1 m,1 min,416+Boston+Post+Road+Marlborough+MA,416+Boston+Post+Road+Marlborough+MA
81,79.9 km,1 hour 6 mins,416+Boston+Post+Road+Marlborough+MA,116+Newburyport+Turnpike+Rowley+MA
82,91.8 km,1 hour 13 mins,416+Boston+Post+Road+Marlborough+MA,38+Great+Republic+Drive+Gloucester+MA
83,86.0 km,1 hour 7 mins,416+Boston+Post+Road+Marlborough+MA,300+Newburyport+Turnpike+Rowley+MA
84,65.5 km,58 mins,416+Boston+Post+Road+Marlborough+MA,50+Grove+St+Salem+MA
