,0
0,4
1,31.0
2,1.28
3,"[' 0 Load(600)', ' 49+Macy+St+Amesbury+MA\xa0 Load(600)', ' 107+Elm+St+Salisbury+MA Load(300)', ' 0 Load(0)']"
