,Key,Value
0,6010 Advertising & Marketing,6461.3
2,6200 Bank Charges & Fees,329.43
4,6700 Interest Expense,20.44
6,6751 Accounting Services,100.0
8,6753 Consultants,10000.0
10,6754 Payroll Processing,171.0
12,6900 Meals & Entertainment,143.61
14,6950 Office Supplies,176.42
16,6951 Office Software,161.7
18,6952 Telecommunications,40.75
20,7150 Shipping & Postage,108.04
22,7300 Payroll-Wages,6250.0
24,7301 Payroll-Taxes,228.65
26,7340 Research & Development,223.41
28,7600 Travel,62.75
30,6361 Depreciation-Office Equipment,40.0
