,Key,Value
0,6200 Bank Charges & Fees,321.24
2,6752 Legal Services,3250.0
4,6753 Consultants,70200.83
6,6754 Payroll Processing,171.0
8,6780 Recruiting,106.25
10,6800 Taxes & Licenses,150.0
12,6900 Meals & Entertainment,662.48
14,6950 Office Supplies,144.94
16,6951 Office Software,195.48
18,6990 Other Business Expenses,427.13
20,7150 Shipping & Postage,31.78
22,7300 Payroll-Wages,6250.0
24,7301 Payroll-Taxes,916.79
26,7302 Payroll-Benefits,4663.83
28,7340 Research & Development,21.74
30,7600 Travel,375.0
32,6361 Depreciation-Office Equipment,40.0
