,0
0,5
1,70.0
2,2.75
3,"[' 0 Load(410)', ' 38+Great+Republic+Drive+Gloucester+MA Load(410)', ' 3+Dodge+Street+Salem+MA Load(360)', ' 50+Grove+St+Salem+MA Load(300)', ' 0 Load(0)']"
