,Key,Value
0,6700 Interest Expense,254.5
2,6900 Meals & Entertainment,310.96
4,6951 Office Software,44.83
6,6952 Telecommunications,40.75
8,7150 Shipping & Postage,155.34
10,7600 Travel,83.0
