,Key,Value
0,6010 Advertising & Marketing,543.89
2,6200 Bank Charges & Fees,203.71
4,6751 Accounting Services,503.75
6,6752 Legal Services,3958.75
8,6753 Consultants,3009.96
10,6754 Payroll Processing,171.0
12,6780 Recruiting,106.25
14,6800 Taxes & Licenses,500.0
16,6900 Meals & Entertainment,143.94
18,6951 Office Software,239.71
20,6990 Other Business Expenses,31.0
22,7150 Shipping & Postage,163.25
24,7300 Payroll-Wages,6250.0
26,7301 Payroll-Taxes,454.47
28,7302 Payroll-Benefits,5059.14
30,7305 Guaranteed Payments,12500.0
32,7340 Research & Development,69.29
34,7600 Travel,145.02
