,Key,Value
0,6010 Advertising & Marketing,107.69
2,6100 Auto Expense,39.0
4,6200 Bank Charges & Fees,115.37
6,6700 Interest Expense,236.76
8,6900 Meals & Entertainment,219.65
10,6951 Office Software,31.88
12,6952 Telecommunications,40.75
14,Uncategorized Expense,500.0
