,0
0,1
1,127.0
2,4.02
3,"[' 0 Load(599)', ' 541+Massachusetts+Ave+Cambridge+MA Load(599)', ' 177+John+Verente+Blvd+New+Bedford+MA Load(499)', ' 0 Load(0)']"
