,Key,Value
0,6010 Advertising & Marketing,560.0
2,6200 Bank Charges & Fees,338.78
4,6751 Accounting Services,250.0
6,6753 Consultants,12706.25
8,6754 Payroll Processing,257.0
10,6780 Recruiting,153.02
12,6900 Meals & Entertainment,629.47
14,6951 Office Software,163.63
16,7150 Shipping & Postage,63.75
18,7300 Payroll-Wages,9375.0
20,7301 Payroll-Taxes,-254.06
22,7302 Payroll-Benefits,4663.83
24,7600 Travel,73.0
26,6361 Depreciation-Office Equipment,40.0
